STATION,NAME,LATITUDE,LONGITUDE,DATE,TAVG
UK000047811,"ARMAGH, UK",54.35,-6.65,1940,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1941,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1942,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1943,49.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1944,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1945,50.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1946,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1947,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1948,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1949,50.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1950,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1951,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1952,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1953,49.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1954,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1955,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1956,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1957,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1958,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1959,50.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1960,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1961,49.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1962,47.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1963,47.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1964,49
UK000047811,"ARMAGH, UK",54.35,-6.65,1965,47.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1966,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1967,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1968,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1969,48
UK000047811,"ARMAGH, UK",54.35,-6.65,1970,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1971,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1972,47.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1973,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1974,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1975,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1976,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1977,48.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1978,48.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1979,46.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1980,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1981,48.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1982,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1983,49.5
UK000047811,"ARMAGH, UK",54.35,-6.65,1984,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1985,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1986,47.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1987,48.4
UK000047811,"ARMAGH, UK",54.35,-6.65,1988,49.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1989,50.1
UK000047811,"ARMAGH, UK",54.35,-6.65,1990,49.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1991,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1992,48.9
UK000047811,"ARMAGH, UK",54.35,-6.65,1993,48.7
UK000047811,"ARMAGH, UK",54.35,-6.65,1994,48.8
UK000047811,"ARMAGH, UK",54.35,-6.65,1995,50.3
UK000047811,"ARMAGH, UK",54.35,-6.65,1996,48.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1997,50.6
UK000047811,"ARMAGH, UK",54.35,-6.65,1998,50.2
UK000047811,"ARMAGH, UK",54.35,-6.65,1999,50.3
UK000047811,"ARMAGH, UK",54.35,-6.65,2000,49.9
UK000047811,"ARMAGH, UK",54.35,-6.65,2001,49.3
UK000047811,"ARMAGH, UK",54.35,-6.65,2002,50.4
UK000047811,"ARMAGH, UK",54.35,-6.65,2003,50
UK000047811,"ARMAGH, UK",54.35,-6.65,2004,50.4
UK000047811,"ARMAGH, UK",54.35,-6.65,2005,50.4
UK000047811,"ARMAGH, UK",54.35,-6.65,2006,50.7
UK000047811,"ARMAGH, UK",54.35,-6.65,2007,51.1
UK000047811,"ARMAGH, UK",54.35,-6.65,2008,49.6
UK000047811,"ARMAGH, UK",54.35,-6.65,2009,49.7
UK000047811,"ARMAGH, UK",54.35,-6.65,2010,47.6
UK000047811,"ARMAGH, UK",54.35,-6.65,2011,50.5
UK000047811,"ARMAGH, UK",54.35,-6.65,2012,49.4
UK000047811,"ARMAGH, UK",54.35,-6.65,2013,49.6
UK000047811,"ARMAGH, UK",54.35,-6.65,2014,50.2
UK000047811,"ARMAGH, UK",54.35,-6.65,2015,49
UK000047811,"ARMAGH, UK",54.35,-6.65,2016,50.1
UK000047811,"ARMAGH, UK",54.35,-6.65,2017,50.6
UK000047811,"ARMAGH, UK",54.35,-6.65,2018,
